Team                   ,Games Played ,Field Goals Made ,Field Goals Attempted ,Free Throws Made ,Free Throws Attempted ,Total Rebounds ,Assists ,Total Turnovers ,Steals ,Blocks
Atlanta Hawks          ,          12 ,             510 ,                 1069 ,             267 ,                  321 ,           619 ,    318 ,            185 ,   107 ,    58
Boston Celtics         ,          13 ,             549 ,                 1158 ,             218 ,                  270 ,           723 ,    324 ,            171 ,    81 ,    71
Brooklyn Nets          ,          13 ,             545 ,                 1168 ,             185 ,                  243 ,           716 ,    333 ,            182 ,    72 ,    68
Charlotte Hornets      ,          12 ,             512 ,                 1084 ,             216 ,                  280 ,           634 ,    298 ,            172 ,    84 ,    55
Chicago Bulls          ,          14 ,             555 ,                 1260 ,             233 ,                  292 ,           695 ,    308 ,            170 ,   130 ,    65
Cleveland Cavaliers    ,          13 ,             531 ,                 1117 ,             236 ,                  307 ,           666 ,    315 ,            181 ,    98 ,    71
Dallas Mavericks       ,          14 ,             614 ,                 1271 ,             257 ,                  349 ,           714 ,    361 ,            175 ,    83 ,    56
Denver Nuggets         ,          13 ,             577 ,                 1150 ,             174 ,                  245 ,           677 ,    380 ,            172 ,    90 ,    73
Detroit Pistons        ,          14 ,             578 ,                 1244 ,             237 ,                  293 ,           749 ,    381 ,            244 ,    80 ,    76
Golden State Warriors  ,          14 ,             570 ,                 1286 ,             252 ,                  321 ,           778 ,    385 ,            211 ,   110 ,    51
Houston Rockets        ,          11 ,             448 ,                  955 ,             171 ,                  231 ,           562 ,    287 ,            149 ,    75 ,    38
Indiana Pacers         ,          12 ,             564 ,                 1139 ,             201 ,                  252 ,           609 ,    363 ,            157 ,    92 ,    71
Los Angeles Clippers   ,          11 ,             451 ,                  952 ,             197 ,                  257 ,           578 ,    260 ,            172 ,   110 ,    47
Los Angeles Lakers     ,          14 ,             576 ,                 1186 ,             275 ,                  361 ,           730 ,    357 ,            211 ,   116 ,    89
Memphis Grizzlies      ,          13 ,             517 ,                 1206 ,             196 ,                  254 ,           684 ,    322 ,            189 ,   107 ,    82
Miami Heat             ,          13 ,             509 ,                 1104 ,             250 ,                  293 ,           618 ,    330 ,            179 ,   117 ,    45
Milwaukee Bucks        ,          13 ,             549 ,                 1119 ,             260 ,                  340 ,           655 ,    311 ,            181 ,    94 ,    68
Minnesota Timberwolves ,          12 ,             501 ,                 1029 ,             221 ,                  285 ,           635 ,    296 ,            183 ,    94 ,    72
New Orleans Pelicans   ,          13 ,             538 ,                 1149 ,             229 ,                  312 ,           673 ,    322 ,            186 ,   100 ,    60
New York Knicks        ,          13 ,             523 ,                 1181 ,             214 ,                  296 ,           752 ,    307 ,            170 ,   104 ,    33
Oklahoma City Thunder  ,          14 ,             613 ,                 1219 ,             268 ,                  309 ,           686 ,    358 ,            204 ,   120 ,    81
Orlando Magic          ,          13 ,             506 ,                 1117 ,             279 ,                  368 ,           710 ,    306 ,            211 ,   125 ,    71
Philadelphia 76ers     ,          13 ,             559 ,                 1157 ,             301 ,                  347 ,           687 ,    335 ,            172 ,   107 ,    75
Phoenix Suns           ,          13 ,             539 ,                 1139 ,             267 ,                  321 ,           694 ,    352 ,            204 ,    91 ,    89
Portland Trail Blazers ,          13 ,             497 ,                 1162 ,             213 ,                  272 ,           661 ,    279 ,            214 ,   112 ,    66
Sacramento Kings       ,          12 ,             511 ,                 1087 ,             203 ,                  278 ,           626 ,    337 ,            169 ,   103 ,    55
San Antonio Spurs      ,          13 ,             548 ,                 1184 ,             185 ,                  244 ,           645 ,    382 ,            209 ,    92 ,    80
Toronto Raptors        ,          13 ,             548 ,                 1187 ,             197 ,                  276 ,           724 ,    374 ,            189 ,   105 ,    60
Utah Jazz              ,          13 ,             550 ,                 1196 ,             236 ,                  291 ,           733 ,    353 ,            225 ,    83 ,    75
Washington Wizards     ,          12 ,             515 ,                 1082 ,             190 ,                  249 ,           550 ,    328 ,            177 ,   103 ,    60
